key,input,translation.english,translation.russian,definition.english,definition.russian,definition.serbian,example,synonyms,additionalInfo.partOfSpeech,additionalInfo.grammaticalGender,additionalInfo.grammaticalNumber,additionalInfo.cases.singular.nominative,additionalInfo.cases.singular.genitive,additionalInfo.cases.singular.dative,additionalInfo.cases.singular.accusative,additionalInfo.cases.singular.instrumental,additionalInfo.cases.singular.locative,additionalInfo.cases.singular.vocative,additionalInfo.cases.plural.nominative,additionalInfo.cases.plural.genitive,additionalInfo.cases.plural.dative,additionalInfo.cases.plural.accusative,additionalInfo.cases.plural.instrumental,additionalInfo.cases.plural.locative,additionalInfo.cases.plural.vocative,createdAt._seconds,createdAt._nanoseconds,updatedAt._seconds,updatedAt._nanoseconds
Pritiskati,,to press,нажимать,"To push, squeeze, or apply pressure to something.",нажимать или сдавливать что-либо,pritisnuti ili stisnuti nešto,On nastavlja da pritiskati dugme.,"pritisnuti, stiskati, gurati",,,,,,,,,,,,,,,,,,,,,
Privlaćiti,,to attract,привлечь,To attract or draw someone or something towards oneself.,привлекать кого-либо или что-либо к себе,privući nekoga ili nešto,Ova reklama privlači veliki broj ljudi.,"privući, magnetisati, zaseniti",,,,,,,,,,,,,,,,,,,,,
Prizvati,,to summon,призывать,"To call or bring someone or something, typically with urgency.","призвать кого-то или что-то, обычно с определённой срочностью","pozvati nekoga ili nešto, obično hitno",Morao je prizvati sve radnike na hitan sastanak.,"pozvati, dozvati, prikupiti",,,,,,,,,,,,,,,,,,,,,
Proceniti,,to estimate,оценить,"To estimate or evaluate the worth, significance, or quality of something.","оценить стоимость, значимость или качество чего-либо.","odrediti vrednost, važnost ili kvalitet nečega.",Inženjer je morao proceniti troškove projekta.,"oceniti, izmeriti, vrednovati",,,,,,,,,,,,,,,,,,,,,
Prognoziranje,,forecasting,прогнозирование,The action of predicting future events or trends.,действие предсказания будущих событий или тенденций.,Akcija predviđanja budućih događaja ili trendova.,Prognoziranje vremena je važan deo meteorologije.,"predviđanje, projekcija, pretskazivanje",,,,,,,,,,,,,,,,,,,,,
Promišljena,,considered,обдуманный,"Thought out carefully, deliberate, or planned with consideration.","Продуманный, сознательный или запланированный с учетом.","Pažljivo osmišljeno, promišljeno ili planirano sa razmatranjem.",Njena odluka je bila promišljena i temeljna.,"mudra, razumna, dalekovidna",,,,,,,,,,,,,,,,,,,,,
Prostorno ograničeno,,Spatially limited,Пространственно ограничено,Spatially limited or restricted.,Пространственно ограничено.,Prostorno ograničeno ili restrikcija u prostoru.,Ovo je prostorno ograničeno područje.,"prostorom restriktovano, geografski ograničeno, teritorijalno ograničeno",,,,,,,,,,,,,,,,,,,,,
Protrljati,,to rub,тереть,To apply friction to a surface by moving something over it repeatedly.,приложить трение к поверхности путем многократного перемещения чего-либо по ней.,Primena trenja na površinu ponovljenim pomeranjem nečega preko nje.,Protrljati ruke da se zgreju.,"trljati, mazati, trailjiti",,,,,,,,,,,,,,,,,,,,,
Prvak,,champion,чемпион,"A person who has defeated or surpassed all rivals in a competition, especially in sports.","Человек, который победил всех соперников в соревновании, особенно в спорте.","Osoba koja je pobedila sve takmace u takmičenju, posebno u sportu.",On je prvak sveta u atletici.,"pobednik, šampion, prvoplasirani",,,,,,,,,,,,,,,,,,,,,
Pucati,,to shoot,стрелять,To discharge a firearm or other weapon.,выстреливать из огнестрельного или другого оружия.,Ispaliti metak iz vatrenog oružja.,Policajac je morao pucati kada je video pretnju.,"opaliti, rafalirati, prangijati",,,,,,,,,,,,,,,,,,,,,
Pucati od zdravlja,,to burst with health,лопаться от здоровья,"To be in excellent health, to appear very healthy and energetic.","быть в прекрасном здравии, казаться очень здоровым и энергичным.","Biti u odličnoj fizičkoj formi, izgledati vrlo zdravo i energično.",On stvarno puca od zdravlja nakon onog odmora.,"biti u punom jeku, blistati zdravljem, sijati od zdravlja, cvetati",,,,,,,,,,,,,,,,,,,,,
Pumpa,,pump,насос,"A device used to move fluids, such as liquids or gases, by mechanical action.","устройство, используемое для перемещения жидкостей или газов механическим действием","uređaj koji se koristi za pomeranje fluida, poput tečnosti ili gasova, mehaničkim putem",Potrebna mi je nova pumpa za bicikl.,"crpka, pumpica, pumparica",,,,,,,,,,,,,,,,,,,,,
Puna šaka,,full fist,полный кулак,A substantial amount of something held in a closed hand.,"значительное количество чего-либо, удерживаемое в закрытой руке.",značajna količina nečega što se drži u stisnutoj ruci.,Udario sam ga punom šakom.,"pregršt, gomila, obilje",,,,,,,,,,,,,,,,,,1731661914,70000000,1731661914,70000000
Raseliti se,,to resettle,переселиться,"To move people from one location to another, usually as part of an organized relocation due to various reasons such as economic, social, or environmental factors.","перемещать людей из одного места в другое, обычно как часть организованной перевозки по разным причинам, включая экономические, социальные или экологические условия.","Preseliti ljude sa jednog mesta na drugo, obično kao deo organizovano preseljenje iz različitih razloga kao što su ekonomski, socijalni ili ekološki faktori.",Ljudi su morali da se raseliti zbog poplava.,"preseliti, premestiti, distribuirati",,,,,,,,,,,,,,,,,,1731406700,73000000,1731406700,73000000
Rasipati,,to scatter,рассыпать,To cause something to be spread or dispersed in different directions.,позволять чему-то рассеиваться в разные стороны.,Dopustiti nečemu da se rasturi ili raspe u različitim pravcima.,Nemoj rasipati brašno po kuhinji.,"sipati, prosuti, razbacati",,,,,,,,,,,,,,,,,,,,,
Rasipnik,,spendthrift,расточитель,"A person who is wasteful or overly extravagant with resources, especially money.","человек, который расточительно или чрезмерно тратит ресурсы, особенно деньги.","Osoba koja rasipa, troši previše resursa, posebno novca.",On je poznat kao veliki rasipnik.,"proćerdalac, trošadžija, rasipnik",,,,,,,,,,,,,,,,,,,,,
Rasprava,,Discussion,Обсуждение,Discussion or debate between two or more parties.,Обсуждение или дебаты между двумя или более сторонами.,Razgovor ili debata između dve ili više strana.,Ova rasprava je bila veoma konstruktivna.,"diskusija, debata, razmena mišljenja",,,,,,,,,,,,,,,,,,,,,
Rasterećen,,relief,облегчение,The feeling of reassurance and relaxation following release from anxiety or distress.,Чувство спокойствия и расслабления после освобождения от тревоги или стресса.,Osećaj olakšanja i opuštanja nakon oslobađanja od stresa ili napetosti.,Posle ispita osećam rasterećenje.,"olakšanje, smirenje, oslobadjanje",,,,,,,,,,,,,,,,,,,,,
Razbijajući se,,breaking,разбиваясь,To cause oneself to be shattered or split into smaller pieces through impact or force.,"Разрушаться или разбиваться, ломаться от удара или воздействия.",Biti razbijen u manje delove kroz udar ili silu.,Led je postajao tanji sve dok se nije počeo razbijati.,"pucati, lomiti, krhati",,,,,,,,,,,,,,,,,,1731666482,813000000,1731666482,813000000
Razlog,,Reason,Причина,"A cause, explanation, or justification for an action or event.","Причина, объяснение или оправдание для действия или события.","Uzrok, objašnjenje ili opravdanje za neku radnju ili događaj.",On mi je dao dobar razlog da ostanem.,"uzrok, povod, motiv, izgovor",,,,,,,,,,,,,,,,,,,,,
Razonoda,,entertainment,развлечение,The action of providing or being provided with amusement or enjoyment.,действие по обеспечению развлечения и удовольствия,radnja pružanja ili dobijanja zabave ili uživanja,Volim da biram razne oblike razonode.,"zabava, uživanje, razbibriga",,,,,,,,,,,,,,,,,,,,,
Rekoh,,I said,я сказал,"The act of expressing something verbally or communicating a statement, thought, or idea.","акт выражения чего-либо вербально или передачи высказывания, мысли или идеи.","Čin verbalnog izražavanja nečega ili komunikacija izjave, misli ili ideje.",Rekoh mu istinu i čekao sam njegov odgovor.,"kazah, izustih, napomenuh",,,,,,,,,,,,,,,,,,,,,
Rezonuju,,to resonate,резонировать,"To produce or be filled with a deep, full, reverberating sound or to have an impact or influence.","создавать или быть наполненным глубоким, полным, звучащим резонансом или оказывать влияние.",imati odjek ili dubok uticaj,Njene reči su rezonovale u našim mislima dugo nakon sastanka.,"odjekivati, vibrirati, šumiti",,,,,,,,,,,,,,,,,,1731661702,611000000,1731661702,611000000
Ređati,,to arrange,упорядочивать,To put things in a particular order or position.,располагать в определённом порядке,staviti stvari u određeni red ili položaj,Moramo ređati knjige na polici.,"poređati, slagati, redati",,,,,,,,,,,,,,,,,,,,,
Sam se naždrekao,,I have stuffed myself,Я объелся,To have eaten excessively or greedily.,наесться чрезмерно или жадно,jesti previše ili pohlepno,Posle ručka sam se naždrao i ne mogu da se pomerim.,"najeo se, natovario se, zasitio se",,,,,,,,,,,,,,,,,,1731661621,876000000,1731661621,876000000
Sasvim,,completely,совсем,To a full or greatest extent or degree; totally.,В полной мере или в самой большой степени; полностью.,Do potpune ili najveće mere ili stepena; potpuno.,Ovaj zadatak je sasvim jednostavan.,"potpuno, skroz, u potpunosti",,,,,,,,,,,,,,,,,,,,,
Se odreći,,To renounce,Отказаться,To renounce or give up something voluntarily.,Отказаться или отказаться от чего-то добровольно.,Odreći se ili otpustiti nešto dobrovoljno.,Odlučio je da se odreće svog nasledstva.,"odustati, napustiti, ignoririsati",,,,,,,,,,,,,,,,,,,,,
Servirati,,to serve,подавать,"To prepare and present food or drink for consumption, usually in a formal setting.","готовить и подавать еду или напитки для потребления, обычно в формальной обстановке.","pripremiti i doneti hranu ili piće za konzumaciju, obično u formalnom okruženju.",On će servirati večeru večeras.,"poslužiti, ponuditi, doneti",,,,,,,,,,,,,,,,,,,,,
Siguran,,Secure,Безопасный,Free from danger or threat.,Свободный от опасности или угроз.,Bez opasnosti ili pretnje.,Osećam se sigurno u svom domu.,"bezbedan, zaštićen, pouzdan",,,,,,,,,,,,,,,,,,,,,
Sitati,,to read,читать,To look at and comprehend the meaning of written or printed matter.,Посмотреть и понять смысл написанного или напечатанного текста.,Gledati i razumeti značenje napisanog ili štampanog teksta.,Volim čitati knjige.,"proučavati, listati, pregledati",,,,,,,,,,,,,,,,,,,,,
Sići s pameti,,to go off one's mind,сойти с ума,To lose one's mental stability or rationality due to a particular reason or stimulus.,потерять умственные способности или рациональность в связи с определенной причиной или стимулом.,Izgubiti duševnu stabilnost ili racionalnost zbog određenog razloga ili podsticaja.,On je potpuno sišao s pameti kada je saznao za to.,"poludeti, podivljati, izgubiti razum",,,,,,,,,,,,,,,,,,1731408265,596000000,1731408265,596000000
Skljocne,,to snap,щелкнуть,"To make a short, sharp noise by snapping or clicking.","издать короткий, резкий звук, щелкнув или клацнув.","napraviti kratak, oštar zvuk škljocanjem ili klikom.","Skidajući poklopac, flaša škljocne.","kliknuti, puknuti, trznuti",,,,,,,,,,,,,,,,,,,,,
Skočiti,,to jump,прыгать,To jump or leap into the air.,прыгать или скакать в воздух.,Odvojiti se od tla skokom.,Moram skočiti preko ograde.,"skakati, poskočiti, odskočiti",,,,,,,,,,,,,,,,,,,,,
Skrovište,,hideout,укрытие,A place where someone goes to hide or be alone.,"место, где кто-то прячется или остается один.",mesto gde neko ide da se sakrije ili bude sam.,Deca su pronašla tajno skrovište u šumi.,"utočište, zaklon, pribežište",,,,,,,,,,,,,,,,,,,,,
Skupljati,,to collect,собирать,"To gather or bring together various items, people, or information.","собирать или приводить вместе различные предметы, людей или информацию.","prikupljati ili doneti razne predmete, ljude ili informacije zajedno.",On voli da skuplja stare knjige.,"prikupljati, sabrati, kumulirati",,,,,,,,,,,,,,,,,,,,,
Složni,,harmonious,дружный,Characterized by agreement or harmony among people or groups.,Характеризующийся согласием или гармонией среди людей или групп.,Karakteriše se slaganje ili sklad među ljudima ili grupama.,Mi smo složni u svim situacijama.,"skladni, jedinstveni, ujedinjeni",,,,,,,,,,,,,,,,,,,,,
Smisliti,,to think of,придумать,"To create or come up with a plan, idea, or solution in one's mind.","Придумывать, создавать или разрабатывать план, идею или решение в уме.","Stvoriti ili doći na ideju, plan, rešenje u svojoj glavi.",Morate smisliti novi pristup ovom problemu.,"osmisliti, izmisliti, planirati",,,,,,,,,,,,,,,,,,,,,
Smišljati,,to invent,изобретать,"To create or design something new, especially a story or an idea.","создавать или проектировать что-то новое, особенно историю или идею","stvarati ili dizajnirati nešto novo, posebno priču ili ideju",Ona voli da smišlja zanimljive priče.,"izmišljati, osmišljavati, skrojiti, kreirati",,,,,,,,,,,,,,,,,,,,,
Smotati,,to roll up,свернуть,"To roll something up, to wind or coil into a fixed or compact form.",свернуть что-либо в комок или в рулон.,"uvaljati, umotati nešto",Smotao je papir u rolnu.,"uviti, umotati, savijati",,,,,,,,,,,,,,,,,,,,,
Smrzne,,freezes,замерзает,To become hard or solid due to extreme cold.,Становиться твёрдым или твердым из-за сильного холода.,Postaje tvrdo ili čvrsto zbog ekstremne hladnoće.,Voda se smrzne na niskim temperaturama.,"ledeni se, hladi se, okameni se",,,,,,,,,,,,,,,,,,,,,
Snaći,,to manage,справляться,"To handle a situation, to find a way to deal with something.","Справляться с ситуацией, находить способ справиться с чем-то.","Nositi se sa situacijom, pronaći način da se nešto reši.","U svakom slučaju, moramo se snaći.","pronaći se, snalaziti se, upravljati",,,,,,,,,,,,,,,,,,,,,
Snaći se,,To manage,Смочься,To cope with a problem or difficult situation,Справиться с проблемой или трудной ситуацией,Nositi se s problemom ili teškom situacijom,Moraćemo da se snađemo bez njihove pomoći.,"izboriti se, snalaziti se, savladati, prebroditi",,,,,,,,,,,,,,,,,,,,,
Snažni,,Strong,Сильный,Having great physical power and ability.,Обладающий большой физической силой и способностями.,Imati veliku fizičku snagu i sposobnost.,Snažni čovek je podigao težak teret.,"moćan, jak, vigorozan",,,,,,,,,,,,,,,,,,,,,
Snažniji,,stronger,сильнее,"more powerful, stronger","более мощный, сильнее","moćniji, jači",On je snažniji od svog brata.,"jači, moćniji, žilaviji",,,,,,,,,,,,,,,,,,,,,
Sobička,,room,комната,"A space that can be occupied or where something can be done, especially viewed in terms of whether there is enough.","пространство, которое можно занять или где можно что-то делать.",Prostorija unutar zgrade koja je zatvorena zidovima.,U sobi je bilo puno ljudi.,"prostorija, odaja, komora",,,,,,,,,,,,,,,,,,,,,
Srđan,,Srdjan,Срдьян,A male given name in Serbian culture.,Мужское имя в сербской культуре.,Muško ime u srpskoj kulturi.,Srđan je danas došao u školu.,,,,,,,,,,,,,,,,,,,,,,
Stanje,,condition,состояние,The particular state that someone or something is in at a specific time.,"определенное состояние, в котором находится кто-то или что-то в конкретное время.",Određeno stanje u kojem se neko ili nešto nalazi u određenom trenutku.,Trenutno stanje u zemlji je stabilno.,"uslov, situacija, položaj, okolnost",,,,,,,,,,,,,,,,,,,,,
Stekati,,to acquire,приобрести,"To come into possession or ownership of, to obtain by effort or a fixed process.","приобрести или достичь, особенно через усилия или процесс.","doći u posed, dobiti kroz trud ili proces",Naporno je radio da bi mogao steći bogatstvo.,"dobiti, priskrbiti, zaraditi",,,,,,,,,,,,,,,,,,,,,
Steći,,to acquire,приобретать,To acquire or gain something through effort or achievement.,Приобретать что-то через усилия или достижения.,Dobiti ili postići nešto trudom ili dostignućem.,Stekao je veliko bogatstvo kroz svoje poslovanje.,"dobiti, postići, pribaviti",,,,,,,,,,,,,,,,,,,,,
Stočar,,cattle breeder,скотовод,"A person who raises cattle, typically on a farm or ranch.","Человек, занимающийся разведением крупного рогатого скота, обычно на ферме или ранчо.","Osoba koja se bavi uzgojem goveda, obično na farmi ili ranču.",Moj deda je bio poznati stočar u našem kraju.,"govedar, stočnjak, farmer",,,,,,,,,,,,,,,,,,,,,
Strpljenje,,Patience,терпение,"The capacity to accept or tolerate delay, problems, or suffering without becoming annoyed or anxious.","Способность терпеть задержку, проблемы или страдания без раздражения или беспокойства.","Sposobnost da se prihvati ili toleriše kašnjenje, problemi ili patnja bez negativne reakcije.",Strpljenje je vrhunska vrlina.,"tolerancija, mirnoća, staloženost",,,,,,,,,,,,,,,,,,,,,
Stručnjak,,expert,эксперт,A person who has a comprehensive and authoritative knowledge of or skill in a particular area.,"Человек, обладающий обширными и авторитетными знаниями или навыками в определенной области.",Osoba koja ima sveobuhvatno i autoritativno znanje ili veštinu u određenoj oblasti.,On je pravi stručnjak za kompjutere.,"ekspert, specijalista, znalac",,,,,,,,,,,,,,,,,,,,,
Svađa,,quarrel,ссора,An angry argument or disagreement.,"Ссора, спор с применением неприятных слов или действия.",Ljutita rasprava ili neslaganje.,Svađa između braće trajala je satima.,"prepirka, spor, konflikt, rasprava",,,,,,,,,,,,,,,,,,,,,
Svesni,,aware,осведомленный,"Having or showing realization, perception, or knowledge.","имеющий или проявляющий осознание, восприятие или знание","imati ili pokazivati realizaciju, percepciju ili znanje",On je svestan svojih grešaka.,"upoznat, informisan, obavešten",,,,,,,,,,,,,,,,,,,,,
Svetlo,,light,свет,The natural agent that stimulates sight and makes things visible.,"естественный агент, стимулирующий зрение и делающий видимыми предметы",prirodni agent koji stimuliše vid i čini stvari vidljivim,Upali svetlo u sobi.,"osvetljenje, svetlina, luminoznost",,,,,,,,,,,,,,,,,,,,,
Svota,,sum,сумма,A sum of money or total amount.,Сумма денег или общая сумма.,Iznos novca ili ukupna količina.,Ukupna svota novca na računu je velika.,"iznos, ukupina, total",,,,,,,,,,,,,,,,,,,,,
Takmičenja,,Competitions,Соревнования,An event or contest in which people compete.,"мероприятие или конкурс, в котором люди соревнуются",Dogadjaj ili takmičenje u kojem se ljudi nadmeću.,Takmičenja se često organizuju u sportskim arenama.,"konkursi, nadmetanja, trke, igre",,,,,,,,,,,,,,,,,,,,,
Tapeta,,wallpaper,обои,"A sheet of material, typically a rolled material, used for covering and decorating the walls of rooms.","лист материала, обычно в рулоне, используемый для покрытия и украшения стен помещений.","list materijala, obično u rolni, koji se koristi za pokrivanje i ukrašavanje zidova prostorija.",Kupili smo novu tapetu za dnevnu sobu.,"tapet, zidna obloga, tapet papir",,,,,,,,,,,,,,,,,,,,,
Topiti,,to melt,расплавить,"To cause something to change from a solid to a liquid state, usually by heating.","превращать твердое вещество в жидкое, обычно нагреванием","Učiniti da se nešto promeni iz čvrstog u tečno stanje, obično zagrevanjem.",Moramo topiti sneg pre nego što postane opasan.,"rastopiti, istopiti, pretapati",,,,,,,,,,,,,,,,,,,,,
Trag,,trace,след,"A mark, object, or other indication of the existence or passing of something.","отметка, предмет или другое указание на существование или прохождение чего-либо.","Oznaka, predmet ili drugi pokazatelj postojanja ili prolaska nečega.",Policija je pronašla tragove na mestu zločina.,"znak, otiscak, slad",,,,,,,,,,,,,,,,,,,,,
Trbušnjak,,sit-up,упражнение на пресс,An exercise to strengthen the abdominal muscles by lying on your back and lifting your torso.,"Упражнение для укрепления мышц брюшного пресса, поднимая туловище из положения лежа.","Vežba za jačanje trbušnih mišića, ležeći na leđima i podižući trup.",Svako jutro radim trbušnjake.,"sit-up, trbušnjaci, podizanje trupa",,,,,,,,,,,,,,,,,,,,,
Trljam ga,,I rub it,Я тру его,To apply pressure and friction to a surface in a back-and-forth motion.,Применять давление и трение к поверхности в движении туда-сюда.,Primena pritiska i trenja na površinu u pokretu napred-nazad.,Trljam ga kada se umrlja.,"mrdati, glačati, štrljati",,,,,,,,,,,,,,,,,,1731661919,85000000,1731661919,85000000
Trojka,,trio,тройка,A group or set of three persons or things.,Группа или набор из трех человек или вещей.,Grupa ili skup od tri osobe ili stvari.,Na sceni je nastupila trojka sa odličnom pesmom.,"trojstvo, trio",,,,,,,,,,,,,,,,,,,,,
Trošadžija,,spendthrift,расточитель,"A person who spends money in an extravagant, irresponsible way.","Человек, который расточительно и безответственно тратит деньги.",Osoba koja rasipa novac na ekstravagantan i neodgovoran način.,"Milan je pravi trošadžija, nikad nema novca do kraja meseca.","rasipnik, bahatnik, trošioc",,,,,,,,,,,,,,,,,,,,,
Trčati,,to run,бегать,"To move at a speed faster than a walk, never having both or all the feet on the ground at the same time.","двигаться со скоростью быстрее, чем при ходьбе, никогда не отрывая обе или все ноги от земли одновременно.","Kretati se brzinom većom od hoda, tako da se u jednom trenutku nijedna noga ne dodiruje tlo.",On voli trčati svako jutro.,"jogirati, jurcati, utrčavati",,,,,,,,,,,,,,,,,,,,,
Tvrdica,,miser,скряга,A person who hoards wealth and spends as little money as possible.,"Человек, который копит богатство и тратит деньги как можно меньше.",Osoba koja gomila bogatstvo i troši što je moguće manje novca.,"On je prava tvrdica, nikada ne troši ni dinara više nego što mora.","škrtica, cincar, stipsa",,,,,,,,,,,,,,,,,,,,,
Tvrditi,,to assert,утверждать,Assert or state a fact or belief confidently and forcefully.,утверждать что-либо уверенно и настойчиво.,Izjaviti ili izneti činjenicu ili verovanje sigurno i odlučno.,On tvrdi da je ona odlična studentkinja.,"izjaviti, kazati, ustanoviti",,,,,,,,,,,,,,,,,,,,,
U odbranenju,,defense,оборона,The action of defending from or resisting attack.,действие защиты от нападения.,akcija zaštite od napada.,Tim je pokazao odličnu odbranu tokom utakmice.,"zaštita, obrana, apologija",,,,,,,,,,,,,,,,,,,,,
U proseku,,on average,в среднем,Typically used to describe the mean or central tendency of a set of numbers or measurements.,обычно используется для описания среднего арифметического или центрального значения набора чисел или измерений.,Obično se koristi za opisivanje srednje vrednosti niza brojeva ili merenja.,"U proseku, radni sat traje oko 8 sati.","prosek, sredina",,,,,,,,,,,,,,,,,,,,,
U velteru,,welterweight,в полусреднем весе,"A weight class in combat sports, especially boxing and wrestling, for fighters between 140 and 147 pounds (63.5 kg and 66.7 kg).","весовая категория в боевых видах спорта, таких как бокс и борьба, для спортсменов весом от 63,5 до 66,7 кг.","težinska kategorija u borilačkim sportovima, naročito u boksu i rvanju, za takmičare između 63,5 kg i 66,7 kg.",Bokser se takmiči u velter kategoriji.,"polusrednja kategorija, kao velteraš",,,,,,,,,,,,,,,,,,1731661332,826000000,1731661332,826000000
U vezi sa,,in relation to,в связи с,Used to describe being connected or related to a specific subject or topic.,используется для описания связи с определенным предметом или темой,koristi se za opisivanje povezanosti sa određenom temom ili subjektom,Razgovarali smo u vezi sa novim projektom.,"vezano za, što se tiče, u pogledu",,,,,,,,,,,,,,,,,,1731668303,326000000,1731668303,326000000
Ubledeti,,to turn pale,побледнеть,"To lose color, typically from shock, fear, or illness, resulting in a pale appearance.","потерять цвет, обычно из-за шока, страха или болезни, что приводит к бледному виду.","Izgubiti boju u licu, obično zbog šoka, straha ili bolesti, što rezultira bledim izgledom.","Kad je čuo vesti, momentalno je ubledao.","pozuteti, izbleđeti, obledeti",,,,,,,,,,,,,,,,,,,,,
Ugroziti,,to threaten,угрожать,To present a danger or risk to someone or something.,представлять угрозу или риск для кого-то или чего-то.,Predstavljati opasnost ili rizik za nekoga ili nešto.,Ovaj potez može ugroziti našu bezbednost.,"opasnost, pretnja, rizikovati",,,,,,,,,,,,,,,,,,,,,
Uklopiti se,,to fit in,влиться,To become part of a group or environment in a harmonious way.,Становиться частью группы или среды гармоничным образом.,Postati deo grupe ili okruženja na harmoničan način.,Teško je uklopiti se kada si nov u gradu.,"prilagoditi se, uskladiti se, stopiti se",,,,,,,,,,,,,,,,,,,,,
Ulagati,,to invest,вкладывать,"To allocate or put resources, usually money, into a project or venture in expectation of a profit or benefit.","вкладывать ресурсы, обычно деньги, в проект или предприятие в ожидании прибыли или выгоды.","Uložiti resurse, obično novac, u projekat ili poduhvat u očekivanju profita ili koristi.",On planira da ulaže u nekretnine.,"investirati, uložiti, finansirati",,,,,,,,,,,,,,,,,,,,,
Ulazak,,Entrance,Вход,The act of entering or the place of entering.,действие входа или место входа.,Čin ulaska ili mesto ulaska.,Ulazak je dozvoljen samo sa propusnicom.,"pristup, ulaz, prilaz",,,,,,,,,,,,,,,,,,,,,
Umesto,,instead of,вместо,In place of someone or something.,Вместо кого-то или чего-то.,U mesto nekoga ili nečega.,Pijem čaj umesto kafe.,"zamenom, umjesto",,,,,,,,,,,,,,,,,,,,,
Umišljati,,to imagine,воображать,"To imagine or invent things that are not true, to delude oneself","воображать или вымышлять что-то, что не соответствует действительности, обманывать себя","izmišljati, obmanjivati sebe",Ona uvek umišlja da je bolja od drugih.,"izfantazirati, izmisliti, lažirati",,,,,,,,,,,,,,,,,,,,,
Uobičajena,,Usual,Обычный,"Usual, customary or typical.","обычный, привычный или типичный",Uobičajena znači tipična ili tradicionalna.,To je uobičajena praksa u našoj kompaniji.,"tipična, uobičajna, standardna, redovna",,,,,,,,,,,,,,,,,,,,,
Upisati,,to enroll,записать,To enter information in a database or system.,Внести информацию в базу данных или систему.,Uneti informacije u bazu podataka ili sistem.,Moram se upisati na kurs programiranja.,"uneti, zabeležiti, uknjižiti",,,,,,,,,,,,,,,,,,,,,
Upisaću,,to enroll,зачислиться,"To register or enter one's name on an official list or as a student at a school, college, or university.",занести своё имя в официальные списки как студент,"Uneti nečije ime ili sebe na zvaničnu listu ili kao studenta na školu, fakultet ili univerzitet.",Upisaću fakultet sledeće godine.,"zabeležiti, registrovati, unesi se",,,,,,,,,,,,,,,,,,,,,
Uplaćen,,paid,заплачено,The act of having transferred money to an account or as a payment.,действие по переводу денег на счёт или в качестве платежа.,Čin prenosa novca na račun ili kao uplata.,Novac je uplaćen na račun.,"plaćen, izmiren, isplaćen",,,,,,,,,,,,,,,,,,,,,
Upozorenje,,warning,предупреждение,A statement or event that warns of something imminent or future danger or problem.,"сообщение или событие, предупреждающее о надвигающейся или будущей опасности или проблеме.",Izjava ili događaj koji upozorava na nešto što se približava ili buduću opasnost ili problem.,On je ignorisao upozorenje o lošem vremenu.,"opomena, pretnja, najava",,,,,,,,,,,,,,,,,,,,,
Upozorovati,,to warn,предупреждать,To alert someone to potential danger or to inform them that something undesirable might happen.,Предупредить кого-либо о возможной опасности или известить о чём-то нежелательном.,Uputiti nekoga na moguću opasnost ili informisati ga da se nešto nepoželjno može desiti.,On je pokušao da je upozoruje na opasnosti vožnje po kiši.,"upozoriti, opomenuti, alarmirati, navesti",,,,,,,,,,,,,,,,,,,,,
Uputstvo,,Instructions,Инструкция,Instructions or information intended to guide the behavior or actions of someone.,"Инструкция или информация, предназначенная для руководства поведением или действиями кого-либо.",Upućeni pravci ili naredbe,Pročitajte uputstvo pre upotrebe.,"priručnik, smernice, vodilja",,,,,,,,,,,,,,,,,,,,,
Uraditi,,to do,сделать,To perform or execute a task.,выполнить или осуществить задачу,izvršiti ili kompletirati zadatak,Moram uraditi domaći zadatak.,"izvršiti, obaviti, završiti",,,,,,,,,,,,,,,,,,,,,
Uređaj,,device,устройство,"An instrument or tool invented for specific purposes, often technological or mechanical in nature.","инструмент или приспособление, созданное для определённых целей, часто технологического или механического характера.","Instrument ili alat izrađen za određene namene, često tehnološke ili mehaničke prirode.",Ovaj uređaj je vrlo koristan za svakodnevnu upotrebu.,"sprava, alat, instrument",,,,,,,,,,,,,,,,,,,,,
Uspeh,,success,успех,The accomplishment of an aim or purpose.,Достижение поставленной цели или задачи.,Ostvarenje cilja ili namere.,Njegov uspeh u poslu je rezultat napornog rada.,"postignuće, trijumf, dostignuće",,,,,,,,,,,,,,,,,,,,,
Ustupati za,,cede for,уступать за,"To give up, relinquish or hand over something in favor of someone or something else.",уступать что-то в пользу кого-то или чего-то.,"Odstupiti, prepustiti ili predati nešto u korist nekoga ili nečega.",On je odlučio da ustupi svoj stan za humanitarnu akciju.,"predati, ustupiti, prepustiti, dati",,,,,,,,,,,,,,,,,,,,,
Uticaj,,influence,влияние,"The capacity to have an effect on the character, development, or behavior of someone or something, or the effect itself.","способность оказывать воздействие на характер, развитие или поведение кого-либо или на что-либо, или само воздействие","Sposobnost da se izvrši efekat na nečiji karakter, razvoj ili ponašanje ili sam efekat",Njegov uticaj je primetan u svim odlukama.,"utvrđivanje, delovanje, moć",,,,,,,,,,,,,,,,,,,,,
Uticati,,to influence,влиять,To have an impact or an effect on something.,влиять на что-то.,imati efekat ili uticaj na nešto.,Njegove reči mogu uticati na odluku ljudi.,"delovati, podesiti, uticajan",,,,,,,,,,,,,,,,,,,,,
Uvlačenje,,insertion,вставка,The act or process of inserting or becoming inserted.,Процесс вставки или вхождения.,Proces umetanja ili uvlačenja.,Uvlačenje teksta je korisno za oblikovanje dokumenata.,"umetanje, ubacivanje, intezija",,,,,,,,,,,,,,,,,,,,,
